Insert,Topic,Time,Field1,Field2,isValid,Error
Mongo Insert,, Time: 2023-05-01 21:14:47.457132 ,  Temp: 11.599999999999994,Sensor: 2, isValid: true , Mean: 13.488235294117645, Z-Score: 2.526228080876886, 
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:47.931862", SalaEntrada:1, SalaSaida:2},
Mongo Insert,, Time: 2023-05-01 21:14:47.931862 ,  EntranceRoom: 1, ExitRoom: 2, isValid: true
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:48.459451", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: '2010-02-30 16:17:45',  Leitura: 11.599999999999994, Sensor: 2},
Mongo Insert,, Time: 1899-12-31 00:00:00.0 ,  Temp: 11.599999999999994,Sensor: 2, isValid: false , Mean: 13.415789473684208, Z-Score: 2.176407096800334,  , Error: This timestamp wasn't parsable. 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:49.462768", Leitura: 14, Sensor: 1},
Mongo Insert,, Time: 2023-05-01 21:14:49.462768 ,  Temp: 14.0,Sensor: 1, isValid: true , Mean: 13.444999999999999, Z-Score: 0.6742894214251759, 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:49.462768", Leitura: 11.599999999999994, Sensor: 2},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:50.465088", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:50.465088", Leitura: 11.599999999999994, Sensor: 2},
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:50.933834", SalaEntrada:1, SalaSaida:2},
Mongo Insert,, Time: 2023-05-01 21:14:50.933834 ,  EntranceRoom: 1, ExitRoom: 2, isValid: true
Queue Insert, pisid_mazemov, {Hora:"2023-05-01 21:14:50.934835", SalaEntrada:1, SalaSaida:3},
Mongo Insert,, Time: 2023-05-01 21:14:50.934835 ,  EntranceRoom: 1, ExitRoom: 3, isValid: true
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:51.467407", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:51.467407", Leitura: 11.599999999999994, Sensor: 2},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:52.469727", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:52.469727", Leitura: 11.599999999999994, Sensor: 2},
Mongo Insert,, Time: 2023-05-01 21:14:52.469727 ,  Temp: 11.599999999999994,Sensor: 2, isValid: true , Mean: 13.233333333333333, Z-Score: 1.6369751067136, 
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:53.472046", Leitura: 14, Sensor: 1},
Queue Insert, pisid_mazetemp, {Hora: "2023-05-01 21:14:53.472046", Leitura: 11.599999999999994, Sensor: 2},
